sha,author,date,message
1,Cosmin Sabou,"December 31, 2024 08:30 PM",Bug Remove trailing whitespaces alintfix
2,Stephen Thompson,"December 31, 2024 08:03 PM",Bug unlock tab sizes in collapsed tab groups rjswinartontabbrowserreviewers In certain cases when closing a tabs we temporarily lock the width of the tabs instead of letting them growshrink If you close a tab and then quickly collapse a tab group right afterwards you can end up with the tab group label going into the collapsed state correctly but the tabs in the tab group are still visible The issue is that we lock tab sizes on visible tabs using maxwidth important and we are hiding tabs in collapsed tab groups by using a CSS rule of maxwidth When we unlock the tab sizes we only unlock visible tabs but the tabs inside of the collapsed tab group are no longer considered visible This fix removes the tab lock size maxwidth important rule on all tabs regardless of tab visibility Differential Revision httpsphabricatorservicesmozillacomD
3,Cosmin Sabou,"December 31, 2024 08:15 PM",Bug Add missing in the skipif syntax atypofix CLOSED TREE
4,Alexandru Marc,"December 30, 2024 06:23 AM",Bug Temporarily disable test getUserMedia scarySources on Windows debug for frequent failures rintermittentreviewersahal Differential Revision httpsphabricatorservicesmozillacomD
5,Alexandru Marc,"December 30, 2024 06:42 AM",Bug Disable browser bfcache copycommand on windows for frequent failures rintermittentreviewersahal Differential Revision httpsphabricatorservicesmozillacomD
6,Goloman Adrian,"December 31, 2024 07:50 PM",Bug disable test browser urlbar togglejs for frequent failures rintermittentreviewersjmaher DONTBUILD Differential Revision httpsphabricatorservicesmozillacomD
7,Goloman Adrian,"December 31, 2024 07:49 PM",Bug disable test browser popupNotification swapBrowserjs for frequent failures rintermittentreviewersjmaher DONTBUILD Differential Revision httpsphabricatorservicesmozillacomD
8,Alexandru Marc,"December 30, 2024 07:26 AM",Bug Disable tests on linux opt and windows debug for frequent failures rahal Differential Revision httpsphabricatorservicesmozillacomD
9,Alexandru Marc,"December 30, 2024 07:13 AM",Bug Disable tests on linux asantsandebug and win asan for frequent failures rahal Differential Revision httpsphabricatorservicesmozillacomD
10,Alexandru Marc,"December 30, 2024 06:51 AM",Bug Disable tests on Windows x for frequent failures rahal Differential Revision httpsphabricatorservicesmozillacomD
11,Goloman Adrian,"December 31, 2024 07:24 PM",Bug fixed typo in manifest file atypofix
